book_id,library_id,title,author,quantity_available,category
1,86,Triple-buffered intermediate migration,Donna Zimmerman,75,Fiction
2,90,Self-enabling optimizing focus group,John Chavez,26,Historical Fiction
3,49,Operative analyzing archive,Bethany Gonzalez,79,Fiction
4,97,Cloned 5thgeneration circuit,Juan Sampson,3,Romance
5,3,Adaptive bottom-line migration,Donna Garcia,93,Romance
6,34,Programmable reciprocal architecture,Daniel Jacobs,93,Non-Fiction
7,55,Balanced zero-defect throughput,Chad Garrison,64,Fantasy
8,92,Inverse tertiary strategy,Michael Smith,98,Historical Fiction
9,88,Future-proofed tangible access,Keith Rocha,29,Fantasy
10,80,Extended web-enabled projection,Randy Hunt,13,Non-Fiction
11,38,Digitized secondary hardware,Dr. Jason Gordon DDS,16,Fiction
12,64,Progressive responsive projection,Karen Hernandez,40,Fantasy
13,31,Future-proofed zero administration extranet,Mary Esparza,67,Mystery
14,49,Public-key client-server Internet solution,Madeline Horn,29,Fantasy
15,7,Multi-channeled actuating matrices,Katherine Davis,87,Mystery
16,69,Focused impactful access,Shannon Cole,59,Science
17,3,Seamless fresh-thinking budgetary management,Daniel Michael,37,Fantasy
18,33,Public-key encompassing strategy,Nina Vasquez,1,Fiction
19,49,Re-engineered asynchronous product,Adrian Townsend,19,Science
20,57,Adaptive intermediate analyzer,Joseph Wilson,0,Fiction
21,53,Integrated grid-enabled portal,Summer Mcguire,5,Historical Fiction
22,96,Exclusive user-facing core,Peter Lewis,36,Mystery
23,5,Networked 6thgeneration help-desk,Martin Chapman,48,History
24,30,Digitized analyzing success,Jeffrey Knight,4,Non-Fiction
25,75,Virtual motivating software,Erica Wilson,25,Mystery
26,18,Progressive optimizing conglomeration,Taylor Richards,71,Mystery
27,29,User-centric context-sensitive firmware,Colleen Harris,37,Historical Fiction
28,88,Inverse interactive intranet,Tabitha Berg,92,Historical Fiction
29,26,Integrated asynchronous parallelism,Mark Wilson,25,Historical Fiction
30,94,Persevering high-level contingency,Shelley Gardner,53,Non-Fiction
31,60,Universal object-oriented collaboration,Jane Hubbard,42,Romance
32,31,Reverse-engineered heuristic algorithm,Taylor Burke,23,Non-Fiction
33,68,Progressive client-server installation,Frank Lucero,10,Historical Fiction
34,77,Optimized motivating interface,Sandy Coleman,52,Fiction
35,31,Object-based foreground knowledgebase,Karen Moran,4,Historical Fiction
36,19,Persistent logistical archive,Mary Torres,97,Science
37,49,Grass-roots multimedia utilization,Kaylee Obrien,81,Science
38,72,Upgradable dynamic product,William Romero,54,Fantasy
39,38,Cross-group multi-state capability,Connie Clark,91,Fantasy
40,56,Pre-emptive systematic help-desk,James Walton,58,Non-Fiction
41,20,Stand-alone empowering website,Derek Short,51,Fantasy
42,60,Decentralized multi-state secured line,Joshua Holder,63,History
43,77,Quality-focused impactful adapter,Sarah Rose,52,Historical Fiction
44,76,Streamlined human-resource functionalities,David Sheppard,18,Fantasy
45,10,Devolved system-worthy database,Erica Brewer,66,Romance
46,78,Sharable heuristic standardization,Jason Ray,58,Fantasy
47,67,Business-focused responsive help-desk,Mark Nelson,90,History
48,94,Virtual 5thgeneration firmware,Ruben Rojas,2,Fiction
49,57,Compatible exuding methodology,Luke Bell,44,Science
